Adelajda	Adela, Ada	Adelaide
Róża	Rózia, Różyczka	Rose
Ruta	Rucia, Rut	Ruth
Sabina	Sabinka, Sabcia	Sabine
Samanta	Samka, Sam	Samantha
Sandra	Sandrusia, Sandrynka	Sandra
Sara	Sarcia, Sarusia	Sarah
Siennę, Sienny, Siana	Sienna
Stanisława
Stasia	Stacy
Stefania	Stefcia	Stephanie
Sylwia	Sylwka, Sylwunia, Sylwcia	Sylvia, Silvia
Szarlota	Szarlotka, Lotka	Charlotte
Świętosława	Świętosia, Tosia, Sława	 
Tamara	Tamarka, Tam, Tama	Tamara, Tammy
Tatiana	Tatianka, Tania	Tatiana, Tanya
Teodora	Dorcia	Theodora
Teresa	Tereska	Theresa
Urszula	Ula, Ulka, Usia	Ursula
Violetta	Violka	Violet
Walentyna		Valentina
Wanda	Wandzia	Vanda, Wanda
Wanessa	Waneska, Wania	Vanessa
Wera		Vera
Weronika	Wera, Werka, Nika	Veronica
Wiara		Vera, Faith
Wiera		Vera
Wiesława	Wiesia, Wieśka	vele = 'great' + sław = 'famous, glory, renown'  
Wiktoria	Wika, Wiki	Victoria
Wilhelmina	Wilka, Wila	Wilma, Wilhelmina
Wioleta	Wiola, Wioletka	Violet
Wirginia	Wiga, Wirgin	Virginia
Wisława	Wisia	 
Zdzisława	Zdzisia, Zdzicha	 
Zenobia	Zenia	Zenobia
Zofia	Zosia, Zośka, Zosieńka	Sophie
Zuzanna	Zuzanka, Zuza	Susan
Zygfryda	Zyga, Fryda, Frydzia	Sigfride
Zyta	Zytka	Zita
Żaklina	Żaklinka	Jacqueline
Żaneta	Żanetka, Żanet	Janet, Jeanette
Żywia	Żywka, Żywa	Siwa
